# This is a list of student data. The "supervisors" column lists each
# student's supervisors (some do not yet have one). The "club" column
# lists the clubs that the student belongs to.
#
first_name|last_name|city|supervisors|status|club
Cara|Rogers|New Britain|Tennant/Room 101|Sophomore|Chess, Improvisation, Rugby, Debate
Ori|Mejia|Lakeland||Senior|Debate
Leandra|Stevens|Rockford||Freshman|
Danielle|Moody|Oro Valley|Baker/Room 315, Eccleston/Room 205|Sophomore|Improvisation
Josiah|Barber|Rancho Cordova||Sophomore|
Wing|Gordon|Reedsport|Baker/Room 315|Freshman|Rugby, Chess, Football
Ryder|Schneider|Boston|Baker/Room 315|Freshman|Debate, Improvisation
Eagan|Hogan|Wichita Falls||Senior|Football, Improvisation, Debate, Chess
Libby|Osborn|Henderson|Baker/Room 315, Tennant/Room 101|Sophomore|
Leroy|Kent|Fort Dodge|Eccleston/Room 205|Junior|
Sandra|Carrillo|Two Rivers||Junior|Improvisation
Raya|Thompson|Wilmington||Senior|
Jael|Craig|Forest Lake|Baker/Room 315|Junior|Debate, Chess
Joshua|Forbes|Mentor|Baker/Room 315|Junior|Debate, Rugby, Chess
Eve|Hinton|Ruston|Baker/Room 315|Junior|
Porter|Mayer|Peekskill||Sophomore|Football, Rugby
Brynne|Barry|Attleboro|Smith/Room 210, Eccleston/Room 205|Senior|
Mari|Ballard|St. Marys||Sophomore|
Lev|Richards|Fairfield|Smith/Room 210|Freshman|
Benedict|Atkinson|Shamokin|Baker/Room 315, Tennant/Room 101|Freshman|
Kelly|Navarro|Eureka|Eccleston/Room 205, Tennant/Room 101|Sophomore|Rugby
Hope|Finch|Easthampton||Junior|Improvisation, Rugby, Debate, Football
Magee|Petersen|College Park|Eccleston/Room 205, Tennant/Room 101|Junior|Chess
Marsden|Hoffman|Birmingham|Tennant/Room 101, Smith/Room 210|Senior|Football
Shea|Bartlett|Downey||Junior|Debate
Chancellor|Hines|Valdosta||Junior|Debate, Chess, Football
Tamara|Stewart|Jeffersonville||Junior|
Wade|Powers|Richland|Smith/Room 210, Baker/Room 315|Sophomore|Improvisation, Rugby, Debate
Ivy|Trujillo|Lewiston|Baker/Room 315, Tennant/Room 101|Sophomore|Improvisation, Chess, Rugby, Debate
Ethan|Garner|Fresno||Sophomore|Football, Rugby, Debate
Damon|Duke|Lodi|Baker/Room 315, Tennant/Room 101|Freshman|Football, Rugby, Improvisation, Debate
Lacey|Bryant|Cairo|Smith/Room 210, Baker/Room 315|Senior|Rugby
Evelyn|Chapman|Richmond|Smith/Room 210, Eccleston/Room 205|Junior|
Aphrodite|Maldonado|Aliso Viejo||Senior|Improvisation, Chess, Rugby
Mariko|Rose|Taylorsville|Smith/Room 210|Freshman|Debate, Rugby, Football, Chess
Kirsten|Cain|Hammond|Eccleston/Room 205|Junior|Debate
Oleg|Bell|Lima|Tennant/Room 101|Sophomore|Debate
Rudyard|Joyce|Binghamton||Sophomore|
Geoffrey|Reid|Wichita Falls|Eccleston/Room 205, Baker/Room 315|Sophomore|Rugby, Football, Improvisation, Debate
Suki|Roberson|Slidell|Smith/Room 210, Eccleston/Room 205|Freshman|Chess
Adara|Hahn|Lynchburg|Smith/Room 210, Tennant/Room 101|Senior|Improvisation
Galena|Zimmerman|Fullerton||Junior|Chess, Improvisation, Football, Rugby
Demetrius|Barnes|Albuquerque|Baker/Room 315, Smith/Room 210|Junior|Football, Rugby, Chess, Improvisation
Hollee|Fisher|Radford|Tennant/Room 101, Eccleston/Room 205|Sophomore|Rugby
Jescie|Best|Attleboro|Baker/Room 315|Senior|Debate, Football, Rugby
Jarrod|Bird|Peru||Freshman|
Timothy|Gordon|Troy|Smith/Room 210, Eccleston/Room 205|Sophomore|Improvisation, Chess, Rugby
